03095,         1,         0,         1,                    1,                      0,                         0
00934,        48,        22,        26,                   44,                      2,                         2
03925,       106,        52,        54,                  103,                      0,                         3
07935,         9,         3,         6,                    9,                      0,                         0
04240,        54,        25,        29,                   52,                      2,                         0
00315,        41,        18,        23,                   41,                      0,                         0
00712,         9,         5,         4,                    9,                      0,                         0
00709,        31,        19,        12,                   31,                      0,                         0
01207,         2,         1,         1,                    2,                      0,                         0
01960,       161,        87,        74,                  102,                      5,                        54
08405,        12,         8,         4,                    7,                      5,                         0
02645,        21,         6,        15,                   20,                      0,                         1
08670,        39,        22,        17,                   32,                      0,                         7
06910,       155,        79,        76,                  137,                      1,                        17
01290,        14,         7,         7,                   14,                      0,                         0
02790,        22,        11,        11,                   22,                      0,                         0
06770,        39,        18,        21,                   36,                      2,                         1
04276,       150,        75,        75,                  147,                      2,                         1
06465,        36,        16,        20,                   36,                      0,                         0
00951,        14,         9,         5,                   14,                      0,                         0
01295,        15,         6,         9,                   15,                      0,                         0
01178,         7,         2,         5,                    7,                      0,                         0
00415,        63,        32,        31,                   53,                      3,                         7
09050,       211,       103,       108,                  182,                      5,                        24
05690,       458,       225,       233,                  438,                      0,                        20
04765,        76,        37,        39,                   64,                      0,                        12
02785,        47,        25,        22,                   44,                      0,                         3
00001,        26,         8,        18,                   25,                      0,                         1
07365,       190,        98,        92,                  184,                      0,                         6
07600,        23,        10,        13,                   23,                      0,                         0
00630,        63,        35,        28,                   56,                      0,                         7
08225,        57,        27,        30,                   50,                      0,                         7
01246,         9,         5,         4,                    9,                      0,                         0
00077,        26,         9,        17,                   24,                      1,                         1
05485,        29,        17,        12,                   28,                      0,                         1
06040,        19,         8,        11,                   18,                      1,                         0
00031,        49,        22,        27,                   47,                      0,                         2
00985,        45,        20,        25,                   45,                      0,                         0
09020,         2,         2,         0,                    2,                      0,                         0
04015,        20,        14,         6,                   20,                      0,                         0
00417,        16,         7,         9,                   16,                      0,                         0
00857,         7,         5,         2,                    7,                      0,                         0
00973,        72,        40,        32,                   72,                      0,                         0
00017,        31,        13,        18,                   31,                      0,                         0
05605,        12,         5,         7,                   12,                      0,                         0
03535,        65,        32,        33,                   62,                      0,                         3
05305,        63,        34,        29,                   59,                      1,                         3
04270,        68,        33,        35,                   68,                      0,                         0
00620,         3,         0,         3,                    3,                      0,                         0
01665,         3,         2,         1,                    3,                      0,                         0
00399,       160,        81,        79,                  150,                      8,                         2
01175,        81,        43,        38,                   77,                      0,                         4
05870,        31,        15,        16,                   26,                      1,                         4
03610,        12,         6,         6,                   12,                      0,                         0
01234,         9,         4,         5,                    9,                      0,                         0
01241,        26,        14,        12,                   23,                      1,                         2
00166,        34,        18,        16,                   34,                      0,                         0
04940,        51,        25,        26,                   49,                      0,                         2
00110,        21,         6,        15,                   20,                      0,                         1
01820,        76,        42,        34,                   75,                      0,                         1
00080,        21,         9,        12,                   21,                      0,                         0
04390,        20,        10,        10,                   20,                      0,                         0
08340,        33,        18,        15,                   33,                      0,                         0
04610,        31,        16,        15,                   28,                      0,                         3
07150,        10,         6,         4,                   10,                      0,                         0
00463,         3,         2,         1,                    3,                      0,                         0
00469,         4,         2,         2,                    4,                      0,                         0
04150,        11,         5,         6,                   10,                      0,                         1
00453,        13,         5,         8,                   13,                      0,                         0
00020,         3,         0,         3,                    3,                      0,                         0
00502,         5,         3,         2,                    5,                      0,                         0
00995,        16,         9,         7,                   16,                      0,                         0
00364,        15,         9,         6,                   14,                      1,                         0
02135,        17,        10,         7,                   17,                      0,                         0
01220,        16,         8,         8,                   16,                      0,                         0
03515,        15,         7,         8,                   15,                      0,                         0
00136,         8,         5,         3,                    8,                      0,                         0
02030,        17,         6,        11,                   17,                      0,                         0
01142,         5,         1,         4,                    1,                      0,                         4
05450,         8,         5,         3,                    8,                      0,                         0
00548,         5,         2,         3,                    5,                      0,                         0
07626,        15,         9,         6,                   15,                      0,                         0
00589,         6,         4,         2,                    5,                      0,                         1
05825,        94,        44,        50,                   93,                      1,                         0
00617,        13,         7,         6,                   13,                      0,                         0
05345,         8,         2,         6,                    8,                      0,                         0
00633,        12,         5,         7,                   12,                      0,                         0
00598,         1,         1,         0,                    1,                      0,                         0
00599,         2,         2,         0,                    2,                      0,                         0
00606,        19,         9,        10,                   19,                      0,                         0
04275,         4,         3,         1,                    4,                      0,                         0
00831,         4,         2,         2,                    4,                      0,                         0
00782,         6,         3,         3,                    6,                      0,                         0
00099,         4,         3,         1,                    4,                      0,                         0
00761,         3,         1,         2,                    3,                      0,                         0
09180,        30,        16,        14,                   30,                      0,                         0
00003,        29,        15,        14,                   29,                      0,                         0
00145,         5,         3,         2,                    5,                      0,                         0
08595,        12,         3,         9,                   12,                      0,                         0
01307,         3,         1,         2,                    3,                      0,                         0
08000,        94,        48,        46,                   68,                     19,                         7
01317,         4,         0,         4,                    4,                      0,                         0
06035,        50,        23,        27,                   49,                      1,                         0
01166,        11,         6,         5,                   11,                      0,                         0
04365,         7,         3,         4,                    7,                      0,                         0
00802,        13,         5,         8,                   13,                      0,                         0
04670,        16,         9,         7,                    8,                      0,                         8
07880,        41,        21,        20,                   41,                      0,                         0
00657,         2,         1,         1,                    2,                      0,                         0
00772,         2,         1,         1,                    2,                      0,                         0
02410,         5,         3,         2,                    5,                      0,                         0
01810,        25,        16,         9,                   25,                      0,                         0
00177,         5,         3,         2,                    5,                      0,                         0
06150,         3,         2,         1,                    3,                      0,                         0
03215,         5,         2,         3,                    3,                      2,                         0
00140,         5,         3,         2,                    5,                      0,                         0
02020,        11,         8,         3,                   10,                      1,                         0
08580,        13,         8,         5,                   13,                      0,                         0
01270,         7,         1,         6,                    7,                      0,                         0
05055,        26,        13,        13,                   26,                      0,                         0
05680,        13,         6,         7,                   11,                      0,                         2
04140,         4,         1,         3,                    4,                      0,                         0
00682,        12,         7,         5,                   12,                      0,                         0
01047,         2,         1,         1,                    2,                      0,                         0
01200,         4,         2,         2,                    4,                      0,                         0
05120,         3,         3,         0,                    2,                      1,                         0
01263,        16,         5,        11,                   16,                      0,                         0
00996,         5,         3,         2,                    5,                      0,                         0
09095,         1,         1,         0,                    1,                      0,                         0
01026,         1,         0,         1,                    0,                      0,                         1
02035,         3,         1,         2,                    3,                      0,                         0
05105,         4,         2,         2,                    2,                      2,                         0
00218,         1,         0,         1,                    1,                      0,                         0
01351,         2,         1,         1,                    2,                      0,                         0
01214,         5,         2,         3,                    4,                      0,                         1
03950,         3,         1,         2,                    3,                      0,                         0
01278,         2,         1,         1,                    2,                      0,                         0
05973,         4,         2,         2,                    4,                      0,                         0
01369,         0,         0,         0,                    0,                      0,                         0
01196,         0,         0,         0,                    0,                      0,                         0
01389,         0,         0,         0,                    0,                      0,                         0
01325,         0,         0,         0,                    0,                      0,                         0
00163,         0,         0,         0,                    0,                      0,                         0
01387,         0,         0,         0,                    0,                      0,                         0
01339,         0,         0,         0,                    0,                      0,                         0
00499,         0,         0,         0,                    0,                      0,                         0
00944,         0,         0,         0,                    0,                      0,                         0
00452,         0,         0,         0,                    0,                      0,                         0
00472,         0,         0,         0,                    0,                      0,                         0
00482,         0,         0,         0,                    0,                      0,                         0
01086,         0,         0,         0,                    0,                      0,                         0
01384,         0,         0,         0,                    0,                      0,                         0
00725,         0,         0,         0,                    0,                      0,                         0
02010,         0,         0,         0,                    0,                      0,                         0
04225,         0,         0,         0,                    0,                      0,                         0
00674,         0,         0,         0,                    0,                      0,                         0
01131,         0,         0,         0,                    0,                      0,                         0
02505,       322,       173,       149,                  312,                      8,                         2
05845,       459,       217,       242,                  389,                     39,                        31
00410,       319,       154,       165,                  285,                     25,                         9
02395,       262,       130,       132,                  248,                      3,                        11
06885,       208,       100,       108,                  194,                     10,                         4
02060,        53,        31,        22,                   52,                      0,                         1
06720,        42,        16,        26,                   36,                      4,                         2
02535,       168,        85,        83,                  111,                      2,                        55
06325,        75,        38,        37,                   67,                      7,                         1
05460,       257,       119,       138,                  208,                     23,                        26
00898,       134,        67,        67,                  129,                      4,                         1
03195,       241,       124,       117,                  227,                      8,                         6
00291,       199,        92,       107,                  192,                      0,                         7
06845,       573,       296,       277,                  541,                     11,                        21
01006,       105,        53,        52,                  103,                      1,                         1
04710,       144,        74,        70,                  125,                      4,                        15
05595,        85,        39,        46,                   79,                      2,                         4
05415,        49,        20,        29,                   46,                      0,                         3
02540,        91,        39,        52,                   57,                     22,                        12
09205,        44,        26,        18,                   38,                      1,                         5
05660,       215,        96,       119,                  213,                      2,                         0
07795,         4,         3,         1,                    4,                      0,                         0
06476,        13,         6,         7,                   13,                      0,                         0
09015,       132,        64,        68,                  126,                      1,                         5
00244,        14,         6,         8,                   14,                      0,                         0
05730,       262,       126,       136,                  255,                      2,                         5
05212,        64,        32,        32,                   63,                      0,                         1
00025,       152,        68,        84,                  122,                     16,                        14
00800,       319,       166,       153,                  265,                     30,                        24
07760,        39,        23,        16,                   37,                      0,                         2
00304,        21,        11,        10,                   21,                      0,                         0
02175,       156,        72,        84,                  153,                      0,                         3
04835,       407,       196,       211,                  370,                      4,                        33
00071,       184,       100,        84,                  168,                     10,                         6
00147,       104,        48,        56,                   94,                      1,                         9
01275,       298,       142,       156,                  260,                     10,                        28
01148,        44,        23,        21,                   44,                      0,                         0
00390,         2,         2,         0,                    2,                      0,                         0
07495,       218,       113,       105,                  200,                      6,                        12
01880,       390,       202,       188,                  340,                     33,                        17
00755,        23,        11,        12,                   23,                      0,                         0
06385,        98,        55,        43,                   71,                     11,                        16
08060,         2,         1,         1,                    2,                      0,                         0
01045,        87,        51,        36,                   86,                      0,                         1
04795,       176,        85,        91,                  129,                     13,                        34
03220,        73,        40,        33,                   67,                      2,                         4
03415,        26,        12,        14,                   23,                      3,                         0
08980,       409,       193,       216,                  387,                      4,                        18
04880,        56,        28,        28,                   52,                      3,                         1
03750,       187,        97,        90,                  178,                      8,                         1
02245,       290,       151,       139,                  283,                      1,                         6
00375,       230,       114,       116,                  224,                      4,                         2
00405,        52,        21,        31,                   49,                      0,                         3
00251,        42,        21,        21,                   41,                      0,                         1
02545,        56,        29,        27,                   53,                      0,                         3
08085,        75,        35,        40,                   71,                      3,                         1
05550,       199,       100,        99,                  182,                     11,                         6
08960,       107,        58,        49,                  102,                      1,                         4
08750,       228,       115,       113,                  198,                      4,                        26
00412,        35,        20,        15,                   32,                      0,                         3
01502,        10,         4,         6,                   10,                      0,                         0
01141,        43,        15,        28,                   43,                      0,                         0
07810,        60,        31,        29,                   58,                      0,                         2
00396,        51,        22,        29,                   48,                      0,                         3
05850,        24,        15,         9,                   24,                      0,                         0
01232,         8,         4,         4,                    8,                      0,                         0
00172,        23,        13,        10,                   23,                      0,                         0
06760,        41,        22,        19,                   39,                      0,                         2
03160,        86,        41,        45,                   73,                      4,                         9
01211,        53,        25,        28,                   46,                      6,                         1
07675,       199,       113,        86,                  186,                      1,                        12
01101,        11,         6,         5,                   11,                      0,                         0
03020,        29,        10,        19,                   26,                      1,                         2
00263,        16,        10,         6,                   12,                      2,                         2
08270,        49,        18,        31,                   47,                      1,                         1
01239,       124,        62,        62,                   85,                     32,                         7
03960,       411,       183,       228,                  343,                     17,                        51
08800,        13,         6,         7,                   13,                      0,                         0
07260,        17,         6,        11,                   17,                      0,                         0
03715,       113,        68,        45,                   89,                      1,                        23
03770,       142,        68,        74,                  124,                      1,                        17
00708,        49,        27,        22,                   48,                      1,                         0
01500,        19,        11,         8,                   12,                      7,                         0
07930,        59,        30,        29,                   58,                      1,                         0
00413,        45,        25,        20,                   44,                      1,                         0
00917,        53,        28,        25,                   53,                      0,                         0
08035,         8,         5,         3,                    8,                      0,                         0
00815,        73,        38,        35,                   73,                      0,                         0
00308,         4,         1,         3,                    4,                      0,                         0
00337,        15,         4,        11,                    6,                      8,                         1
08630,         4,         2,         2,                    4,                      0,                         0
00224,       240,       118,       122,                  218,                      2,                        20
02045,        46,        22,        24,                   46,                      0,                         0
01176,        68,        31,        37,                   65,                      3,                         0
00086,        39,        20,        19,                   37,                      1,                         1
00310,       158,        74,        84,                  152,                      1,                         5
00288,         3,         1,         2,                    3,                      0,                         0
01029,        14,         6,         8,                    9,                      4,                         1
07400,        15,        10,         5,                   15,                      0,                         0
02315,        57,        30,        27,                   48,                      5,                         4
03965,       118,        55,        63,                  116,                      1,                         1
04970,       106,        51,        55,                  105,                      0,                         1
03435,         5,         1,         4,                    5,                      0,                         0
01095,        49,        22,        27,                   48,                      1,                         0
00312,         7,         3,         4,                    6,                      0,                         1
05330,        23,        16,         7,                   23,                      0,                         0
02775,         1,         1,         0,                    1,                      0,                         0
07785,       105,        52,        53,                   55,                      2,                        48
00287,        12,         6,         6,                   10,                      0,                         2
00009,        61,        33,        28,                   61,                      0,                         0
00097,        35,        17,        18,                   30,                      2,                         3
09603,        29,        14,        15,                   29,                      0,                         0
08320,       121,        55,        66,                   79,                      5,                        37
07200,        14,         8,         6,                   14,                      0,                         0
06330,       125,        60,        65,                  124,                      0,                         1
04455,        88,        47,        41,                   88,                      0,                         0
09195,       165,        86,        79,                  108,                      3,                        54
01093,        28,         9,        19,                   25,                      3,                         0
01625,       189,        83,       106,                  173,                      0,                        16
01850,        35,        15,        20,                   35,                      0,                         0
03520,        33,        17,        16,                   33,                      0,                         0
03815,        20,         8,        12,                   19,                      0,                         1
01305,       270,       144,       126,                  261,                      6,                         3
00925,        32,        17,        15,                   32,                      0,                         0
04135,        39,        17,        22,                   39,                      0,                         0
09120,        64,        37,        27,                   56,                      2,                         6
00512,        47,        18,        29,                   47,                      0,                         0
01184,        18,         8,        10,                   16,                      0,                         2
08160,        45,        23,        22,                   22,                     22,                         1
