49,Bar Cafetería Isaac,NULL,Hostelería,Las Mercedes,AL MONTE LAS MERCEDES,33,NULL,NULL,,
50,Bar Rest. Stop,NULL,Hostelería,Las Mercedes,REPUBLICA ARGENTINA,103,NULL,NULL,,
51,Cafetería Carmita,NULL,Hostelería,Las Mercedes,AL MONTE LAS MERCEDES,2,NULL,NULL,,
52,Cafetería Plutón,NULL,Hostelería,Las Mercedes,AL MONTE LAS MERCEDES,34,NULL,NULL,,
53,Cafetería Restaurante El Helecho,NULL,Hostelería,Las Mercedes,AL MONTE LAS MERCEDES,17,NULL,NULL,,
54,Dulcería Cafetería El Rayo,69,Hostelería,Las Mercedes,MERCEDES (DE LAS),69,NULL,NULL,,
55,"Bar Cafetería Díaz ""Quitapenas""",NULL,Hostelería,Barrio Nuevo,OBISPO PEREZ CACERES,11,NULL,NULL,,
56,Bar Estrella Norte,NULL,Hostelería,Camino La Villa,VILLA (LA),81,NULL,NULL,,
57,Bar El Chozo,NULL,Hostelería,Barrio de la Salud Alto,RIVERA (LA) PRIMERA DERECHA,17,NULL,NULL,,
58,Bar Horizonte,NULL,Hostelería,Barrio de la Salud Alto,RIVERA (LA),25,esquina calle Malecón,NULL,,
59,El Manantial Cafetería,NULL,Hostelería,Gracia,HORNERA (LA),84,NULL,el manantial bar café,,
60,Zumería Aguere,NULL,Hostelería,Gracia,HORNERA (LA),82,local 2,NULL,,
61,Satori Cafetería,NULL,Hostelería,Gracia,JOSE LUIS MORENO BECERRA,10,NULL,NULL,,
62,Bar Universo,NULL,Hostelería,Gracia,UNIVERSO,25,NULL,NULL,,
63,Bar Lionza,NULL,Hostelería,San Benito,ANCHIETA,Bloq 109 L,NULL,NULL,,
64,Bar Paco,NULL,Hostelería,Gracia,SATURNO,5,NULL,NULL,,
65,Bar La Luna,NULL,Hostelería,San Benito,CANDELARIA (LA),S/N,NULL,NULL,,
66,Bar Aguacate ,NULL,Hostelería,San Benito,CRUZ DE CANDELARIA,2,NULL,NULL,,
67,Cafetería Pineda,NULL,Hostelería,San Benito,MARQUES DE CELADA,116,NULL,NULL,,
68,Cafetería Mi Hermano,NULL,Hostelería,San Benito,SAN ANTONIO,47,NULL,NULL,,
69,Bar Cafetería J - 4,NULL,Hostelería,Centro,SEIS DE DICIEMBRE,67,NULL,francisco josé rodríguez,,
70,Pastelería De Asis,NULL,Hostelería,San Benito,MARQUES DE CELADA,120,NULL,NULL,,
71,Perrito San bartolomé  ,NULL,Hostelería,San Bartolomé de Geneto,SAN BARTOLOME DE GENETO,125,NULL,NULL,,
72,Bar Cafetería El Tanque,NULL,Hostelería,La Milagrosa,SAN CRISTOBAL,Plaza San ,NULL,NULL,,
73,Birra´s People,NULL,Hostelería,La Milagrosa,SAN CRISTOBAL,S/N,NULL,NULL,,
74,Ciber Jaque,NULL,Hostelería,La Milagrosa,CATEDRAL,33,NULL,NULL,,
75,Bar Cafetería Espejos II,NULL,Hostelería,Guajara,UNION (LA) GUAJARA,20,calle La Unión esq Calle Justicia,NULL,,
76,El Montadito Loco,NULL,Hostelería,Centro,JUAN DE VERA,53,NULL,NULL,,
77,Bar Zumería Tutti Frutti,NULL,Hostelería,La Milagrosa,CALVO SOTELO,53,NULL,NULL,,
78,Bar - Cafetería Los Guanches,NULL,Hostelería,Centro,TRINIDAD (DE),31,NULL,NULL,,
79,Bar Fiesta,NULL,Hostelería,Centro,JUAN DE VERA,3,NULL,NULL,,
80,Cafetería Pastelería David´s,NULL,Hostelería,La Higuerita,MARIA ROSA ALONSO,13 local 1,NULL,NULL,,
81,Bar Los Toneles,NULL,Hostelería,Centro,NUNEZ DE LA PENA,47,NULL,NULL,,
82,Crepería La Boheme,NULL,Hostelería,Centro,DOCTOR OLIVERA,15,NULL,NULL,,
83,Café Bar Goya,NULL,Hostelería,Centro,QUINTIN BENITO,2,NULL,NULL,,
84,Oregano Tapas y Vino,NULL,Hostelería,Centro,QUINTIN BENITO,17,NULL,ww.tascaoregano.com,,
85,La Carrera Bar Cafetería,NULL,Hostelería,Centro,OBISPO REY REDONDO,49,NULL,NULL,,
86,La Gran Via Cafeteria,NULL,Hostelería,Centro,HERACLIO SANCHEZ,12,NULL,NULL,,
87,Mutf Cafetería,NULL,Hostelería,Centro,TRINIDAD (DE),45,NULL,NULL,,
88,Zumería Tajaqué,NULL,Hostelería,Centro,SANTO DOMINGO,11,local 3,NULL,,
89,Bar Zebenzui,NULL,Hostelería,Punta del Hidalgo,GENERAL PUNTA DEL HIDALGO,42,NULL,NULL,,
90,Bar Salitre,NULL,Hostelería,Bajamar,SOL (EL) BAJAMAR,13,1º Izquierda ,NULL,,
91,Hannen Stube,NULL,Hostelería,Bajamar,GRAN PODER (DEL),112,NULL,NULL,,
92,Kapitel,NULL,Hostelería,La Milagrosa,DOCTOR ANTONIO GONZALEZ,7,NULL,NULL,,
93,Achimech Rincón,NULL,Hostelería,Tejina,JOSE A RODRIGUEZ AMADOR,6,NULL,NULL,,
94,Bar Cuatro Caminos,NULL,Hostelería,Tejina,ARRIBA,50,NULL,NULL,,
95,Vanely Caffe´s,NULL,Hostelería,Tejina,ARRIBA,5,El Ramal,NULL,,
96,Cafetería Las Cuevas,NULL,Hostelería,Tejina,JOSE A RODRIGUEZ AMADOR,8,NULL,NULL,,
97,Cafetería El Ramal,NULL,Hostelería,Tejina,MANUEL HERNANDEZ TEJINA,6,Plaza Manuel Hernández,NULL,,
98,Boutique del Pan Jonipan,NULL,Hostelería,Tejina,FELIPE CASTILLO,32,NULL,NULL,,
99,Bar Eliasim,NULL,Hostelería,Tejina,FELIPE CASTILLO,12,NULL,NULL,,
100,Bar La Música ,NULL,Hostelería,Tejina,FELIPE CASTILLO,30,NULL,NULL,,
101,El Pollo Loko,NULL,Hostelería,Tejina,FELIPE CASTILLO,4,NULL,NULL,,
102,Perritos El Ramal,NULL,Hostelería,Tejina,ARRIBA,1,NULL,NULL,,
103,Bar Las Flechas,NULL,Hostelería,Tejina,PADUA,1,NULL,NULL,,
104,Bar Restaurante Andrés,NULL,Hostelería,Tejina,JOVER,5,playa de Jover,NULL,,
105,Bar El Puente,NULL,Hostelería,Tejina,GENERAL LA LAGUNA PUNTA DEL HIDALGO,S/N,NULL,NULL,,
106,Cafetería Hamburguesería New York,NULL,Hostelería,La Higuerita,RECTORA MARÍA LUISA TEJEDOR SALGUERO,42,Calle Rectora María Luisa Tejedor Salguero,NULL,,
107,Bar Rosario,NULL,Hostelería,Valle de Guerra,JUAN FERNANDEZ,23,NULL,NULL,,
108,Cafetería Herrera,NULL,Hostelería,Valle de Guerra,IGNACIO PEREZ GARCIA,38,NULL,NULL,,
109,Bar Nebraska,NULL,Hostelería,Valle de Guerra,TEJINA TACORONTE,197,V - 6,NULL,,
110,Bar Los Corazones,NULL,Hostelería,Tejina,JOSE A RODRIGUEZ AMADOR,17,NULL,NULL,,
111,Bar Cafetería Araucaria,NULL,Hostelería,Tejina,TOMAS GONZALEZ RIVERO,45,NULL,NULL,,
112,Boutique Dulcería El Rincón,NULL,Hostelería,Las Chumberas,CHUMBERAS (LAS),11,Bloque 11 local 1º Plaza la Estrella,NULL,,
113,Restaurante Delicias,NULL,Hostelería,Los Majuelos,PASO (EL),3,NULL,NULL,,
114,Bar Los Tilos,NULL,Hostelería,San Matías,SAN AGUSTIN (LAS TORRES),6,NULL,NULL,,
115,Bar Sixto,NULL,Hostelería,San Matías,SAN FERNANDO TACO,10,NULL,NULL,,
116,Bodegón Bombai,NULL,Hostelería,San Matías,SAN MAURICIO,4,NULL,NULL,,
117,Asadero A La Brasa El Campesino,NULL,Hostelería,Los Majuelos,SAN CLEMENTE,30,esquina San Félix,NULL,,
118,Café Brasil,NULL,Hostelería,Valle de Guerra,GENERAL VALLE GUERRA,145,carretera general de Tejina,NULL,,
119,Arepera Las Nieves,NULL,Hostelería,Finca EspaNa,SAUZAL (EL),25,NULL,NULL,,
120,Asados Palmeros,NULL,Hostelería,Finca EspaNa,PITERITA (LA),S/N,C/PITERITAS ,NULL,,
121,Bar Casa Batista,NULL,Hostelería,Finca EspaNa,SANTIAGO DEL TEIDE,14,NULL,NULL,,
122,Bar Dulcería Paz,NULL,Hostelería,Finca EspaNa,JOSE MAGDALENO,6,NULL,NULL,,
123,Bar Tasca Real,NULL,Hostelería,Finca EspaNa,PALMERAS (LAS),12,NULL,NULL,,
124,Bar Tenerife,NULL,Hostelería,Finca EspaNa,PUERTO DE LA CRUZ,S/N,NULL,NULL,,
125,Bar Yuel II,NULL,Hostelería,Finca EspaNa,GRANADA,4,Pueblo Hinojosa,NULL,,
126,Perrito Bus ,NULL,Hostelería,Finca EspaNa,VALENCIA,1,NULL,NULL,,
127,Bar La Esquina,NULL,Hostelería,Los Majuelos,LIBERTAD (LA),11A,NULL,NULL,,
128,Bodegón Herrera Martín,NULL,Hostelería,Tejina,GENERAL LA LAGUNA PUNTA DEL HIDALGO,43,NULL,NULL,,
129,Bar Rochy,NULL,Hostelería,Tejina,GENERAL LA LAGUNA PUNTA DEL HIDALGO,116,NULL,NULL,,
130,Distribución Hostelera Sporbar,NULL,Hostelería,Los Majuelos,MAJUELOS (LOS),36,NULL,www.sporbar.es,,
131,Bar Valle Verde,NULL,Hostelería,Valle de Guerra,TOSCAS DE ARRIBA,5,NULL,NULL,,
132,Bar Floro,NULL,Hostelería,Valle de Guerra,JUAN FERNANDEZ,61,NULL,NULL,,
133,Bar El Compadre,NULL,Hostelería,Los Majuelos,MAJUELOS (LOS),6,NULL,NULL,,
134,Bar Pino,NULL,Hostelería,Valle de Guerra,TEJINA TACORONTE,373,NULL,NULL,,
135,Cafetería Valle de Guerra,NULL,Hostelería,Valle de Guerra,GENERAL VALLE GUERRA,115,NULL,NULL,,
136,Pinotxo,NULL,Hostelería,Centro,MANUEL DE OSSUNA,5,NULL,NULL,,
137,Calderón de La Tarta,NULL,Hostelería,Centro,MANUEL DE OSSUNA,48,NULL,@delatarta,,
138,Wenceslao Café - Bar,NULL,Hostelería,Centro,VIANA,Esq. Ramón,NULL,NULL,,
139,Cafe Bar Epoca,NULL,Hostelería,Centro,HERACLIO SANCHEZ,5,NULL,NULL,,
140,El Mentidero,NULL,Hostelería,Centro,MORALES,11 Esq. Ca,NULL,NULL,,
141,Hamburguesería Mili,NULL,Hostelería,Centro,HERACLIO SANCHEZ,46,NULL,NULL,,
142,Bar Cienfuegos,NULL,Hostelería,Centro,SAN JUAN,82,NULL,NULL,,
143,Qué Sabrosón ,NULL,Hostelería,Centro,LUCIANO RAMOS DIAZ,S/N,NULL,www.quesabroson.com,,
144,Punto Criollo,NULL,Hostelería,Centro,TIZON (EL),6,NULL,NULL,,
145,Bar Churrería Unión,NULL,Hostelería,Centro,ADELANTADO,7,Plaza del Adelantado,NULL,,
146,Abora Burger,NULL,Hostelería,Centro,ALFREDO TORRES EDWARD,44,NULL,NULL,,
147,Arepera La Perla del Caribe,NULL,Hostelería,Centro,ADELANTADO,4,Plaza del Adelantado,NULL,,
148,El Jardín Del Hada,NULL,Hostelería,Centro,CAPITAN BROTONS,2,NULL,NULL,,
149,Cafetería Brasilia,NULL,Hostelería,Centro,CAPITAN BROTONS,14,NULL,NULL,,
150,Entre Bambalinas,NULL,Hostelería,Centro,CAPITAN BROTONS,21,NULL,NULL,,
151,Heladería La Concepción,NULL,Hostelería,Centro,CONCEPCION (LA),7,NULL,NULL,,
152,Café Palmelita,NULL,Hostelería,Centro,CONCEPCION (LA),14,NULL,NULL,,
153,Cerbecería La SureNa,NULL,Hostelería,Centro,DOCTOR OLIVERA,7,NULL,NULL,,
154,Bar Pedro,NULL,Hostelería,Centro,DOCTOR OLIVERA,4,NULL,NULL,,
155,Pacha Hamburguesería,NULL,Hostelería,Centro,HERACLIO SANCHEZ,5,Cl Heraclio Sanchez 05 Cp 38204,NULL,,
156,Lucerna,NULL,Hostelería,Centro,HERACLIO SANCHEZ,10,Cl Heraclio Sanchez 10 Cp 38204,NULL,,
157,Churreria Chocolateria Olivera,NULL,Hostelería,Centro,HERACLIO SANCHEZ,32,Cl Heraclio Sanchez 32 Cp 38204,NULL,,
158,Gran Café Para La Época,NULL,Hostelería,Centro,HERACLIO SANCHEZ,50,Cl Heraclio Sanchez 50 Cp 38204,NULL,,
159,Pasteleria Lopez Echeto,NULL,Hostelería,Centro,HERRADORES,46,NULL,NULL,,
160,Heladería Acuario,NULL,Hostelería,Centro,JUEGO (EL),17,NULL,NULL,,
161,Cafeteria Aguere,NULL,Hostelería,Centro,LUCIANO RAMOS DIAZ,1,Cl Luciano Ramos Diaz 01 Cp 38203,NULL,,
162,Smoddy,NULL,Hostelería,Centro,OBISPO REY REDONDO,18,NULL,NULL,,
163,Bodegas Rojas,NULL,Hostelería,Centro,CIPRES,18,Esq. Calle El Peso,www.bodegarojas.com,,
164,Cafetería 7 Vies,NULL,Hostelería,Centro,SAN AGUSTIN,S/N,NULL,NULL,,
